No;Nama Fasilitas;Lokasi;Latitude;Longtitude;Jenis Fasilitas
1;Tempat pembuangan sampah kelurahan Sempaja timur;H594+3C7, Jl. Padat Karya, Sempaja Utara, Kec. Samarinda Utara, Kota Samarinda, Kalimantan Timur 75131;-0.41721928972995226;117.15760559568884;TPA
2;Pembuangan sampah;H56W+HJ9, Lempake, North Samarinda, Samarinda City, East Kalimantan;-0.4233989328988753;117.19468445433583;TPST
3; Pertamanan Tempat Pemprosesan Akhir TPA;G4R7+WVM, Jl. P. Suryanata, Bukit Pinang, Kec. Samarinda Ulu, Kota Samarinda, Kalimantan Timur 75124;-0.4370456282119963;117.1119403866563;TPA
4;TPS GANG AYU;G5QG+5JX, Jl. Tri Darma, Sempaja Sel., Kec. Samarinda Utara, Kota Samarinda, Kalimantan Timur 75243;-0.4537821060515149;117.17260954360486;TPS
5;TPS Polder;G4MP+3P3, Jl. Polder Air Hitam, Air Hitam, Kec. Samarinda Ulu, Kota Samarinda, Kalimantan Timur 75243;-0.46579801537739335;117.1381831192837;TPS
6;Bank Sampah Ramli - kertabumi;Blk. AB, Air Putih, Kec. Samarinda Ulu, Kota Samarinda, Kalimantan Timur 75243;-0.47530344360631016;117.12039470907426;BSI
7;TPS Kontiner Statis;Jl. P. Suryanata, Air Putih, Kec. Samarinda Ulu, Kota Samarinda, Kalimantan Timur;-0.47255695558883876;117.12588787331823;TPS
8;Tempat Pembuangan Sampah - Trisari;Jl. Trisari, Sidodadi, Kec. Samarinda Ulu, Kota Samarinda, Kalimantan Timur 75243;-0.4700894068198559;117.14828968286314;TPS
9;TPS Biola;G46X+88H, Pinang Luar River, Samarinda Kota, Samarinda City, East Kalimantan;-0.482791909259785; 117.14725971456741;TPS
10;TPU Lapangan Gerilya;Jl. Merdeka Timur No.3, Sungai Pinang Dalam, Kec. Sungai Pinang, Kota Samarinda, Kalimantan Timur 75242;-0.48004542423503743; 117.16648578942139;TPS
11;Tempat Pembuangan Sampah - Stadion Segiri;Jl. Stadion Barat, Bugis, Kec. Samarinda Kota, Kota Samarinda, Kalimantan Timur 75242;-0.4868043504210636; 117.14904070134197;TPS
12;Pangkalan Pungut Gerakan Memungut Sehelai Sampah SKM;G545+3G9, Jl. Abdul Muthalib, Sungai Pinang Luar, Kec. Samarinda Kota, Kota Samarinda, Kalimantan Timur 75242;-0.4878342814087154; 117.15831041600372;TPS
13;TPS Abdul Muthalib;G535+4HX, Jl. Abdul Muthalib, Sungai Pinang Luar, Kec. Samarinda Kota, Kota Samarinda, Kalimantan Timur 75242;-0.493842209017602;117.15848207738632;TPS
14;TPS JELAWAT GG 1;Jl. Jelawat, Sungai Dama, Kec. Samarinda Ilir, Kota Samarinda, Kalimantan Timur 75242;-0.49864854719825485;117.15968370706473;TPS
15;TPS Kontiner Aktif Pelabuhan;F5W2+5W4, Jl. Pelabuhan, Pelabuhan, Kec. Samarinda Kota, Kota Samarinda, Kalimantan Timur 75111;-0.501649316248583;117.15273721695728;TPS
16;TPS Kontainer Statis Tempekong;Jl. Pangeran Suriansyah, Karang Mumus, Kec. Samarinda Kota, Kota Samarinda, Kalimantan Timur 75113;-0.5052441873521175; 117.15502495064042;TPS
17;Tempat Pembuangan Sampah;F4JC+6QF, Jl. Bung Tomo, Sungai Keledang, Kec. Samarinda Seberang, Kota Samarinda, Kalimantan Timur 75242;-0.5156530863880053; 117.12153091122728;TPS
18;TPS Jalan Jakarta;F3VP+933, Lok Bahu, Sungai Kunjang, Samarinda City, East Kalimantan 75243;-0.4990562278462502;117.08721615054041;TPS
19;TPPST Loa Bakung;F3CR+85X, Jl. Jakarta, Loa Bakung, Kec. Sungai Kunjang, Kota Samarinda, Kalimantan Timur 75129;-0.5244610975200801;117.08893276436665;TPST
20;TPA Sambutan;F6V7+RFC, Unnamed Road, Sambutan, Kec. Sambutan, Kota Samarinda, Kalimantan Timur 75253;-0.4724925852555361;117.22151539898705;TPA
21;BANK SAMPAH KENCANA;F5G6+9M8, Selili, Samarinda Ilir, Samarinda City, East Kalimantan 75251;-0.5161573213213898; 117.1613622850768;BSI
22;Bank Sampah Rezeki Makmur;Jl. Weleri No.16, Simpang Pasir, Kec. Palaran, Kota Samarinda, Kalimantan Timur 75251;-0.556817826534002; 117.14802113173197;BSI
23;Bank Sampah Jaya;Jl. Semarang No.RT. 15, Simpang Pasir, Kec. Palaran, Kota Samarinda, Kalimantan Timur 75251;-0.5592209717865736;117.14699116343621;BSI
24;;;;;
